"","number","date","time","ticker","price"
"9815",163369009,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9816",163369027,2018-02-20,"13:02:54","USD000UTSTOM",56.7125
"9817",163369029,2018-02-20,"13:02:57","USD000UTSTOM",56.71
"9818",163369030,2018-02-20,"13:02:57","USD000UTSTOM",56.7125
"9819",163369031,2018-02-20,"13:02:57","USD000UTSTOM",56.7125
"9820",163369032,2018-02-20,"13:02:57","USD000UTSTOM",56.7125
"9821",163369033,2018-02-20,"13:02:57","USD000UTSTOM",56.715
"9822",163369034,2018-02-20,"13:02:57","USD000UTSTOM",56.715
"9823",163369035,2018-02-20,"13:02:57","USD000UTSTOM",56.715
"9824",163369036,2018-02-20,"13:02:57","USD000UTSTOM",56.715
"9825",163369038,2018-02-20,"13:02:57","USD000UTSTOM",56.715
"9826",163369037,2018-02-20,"13:02:57","USD000UTSTOM",56.715
"9827",163369045,2018-02-20,"13:02:59","USD000UTSTOM",56.7075
"9828",163369046,2018-02-20,"13:02:59","USD000UTSTOM",56.7075
"9829",163369047,2018-02-20,"13:02:59","USD000UTSTOM",56.705
"9830",163369048,2018-02-20,"13:02:59","USD000UTSTOM",56.705
"9831",163369049,2018-02-20,"13:02:59","USD000UTSTOM",56.705
"9832",163369050,2018-02-20,"13:02:59","USD000UTSTOM",56.705
"9833",163369051,2018-02-20,"13:02:59","USD000UTSTOM",56.705
"9834",163369054,2018-02-20,"13:02:59","USD000UTSTOM",56.7025
"9835",163369055,2018-02-20,"13:02:59","USD000UTSTOM",56.7025
"9836",163369056,2018-02-20,"13:02:59","USD000UTSTOM",56.7025
"9837",163369057,2018-02-20,"13:02:59","USD000UTSTOM",56.7025
"9838",163369058,2018-02-20,"13:02:59","USD000UTSTOM",56.7
"9839",163369059,2018-02-20,"13:02:59","USD000UTSTOM",56.7
"9840",163369060,2018-02-20,"13:02:59","USD000UTSTOM",56.7
"9841",163369061,2018-02-20,"13:02:59","USD000UTSTOM",56.7
"9842",163369062,2018-02-20,"13:02:59","USD000UTSTOM",56.7
"9843",163369074,2018-02-20,"13:02:59","USD000UTSTOM",56.705
"9844",163369075,2018-02-20,"13:02:59","USD000UTSTOM",56.705
